proto,class,support,mean_resid,p90_resid
187,21,63.0,0.6246654812305693,0.8904556632041931
188,21,26.0,0.4755077820557814,0.6053837537765503
189,21,28.0,0.4777665776865823,0.6940918982028962
190,22,49.0,0.4326740959469153,0.5682200908660889
191,22,134.0,0.4873279921376883,0.7414042949676514
192,22,37.0,0.35418350390485814,0.4534262478351593
193,22,39.0,0.399690975745519,0.4954113841056825
194,22,19.0,0.36888616649728073,0.4770984053611755
195,22,25.0,0.47674385845661166,0.5960113763809205
196,22,12.0,0.5214334304134051,0.6757878601551056
197,22,67.0,0.41201752157353644,0.6524001598358153
198,23,33.0,0.48786939454801154,0.5975035190582275
199,23,29.0,0.6554829714627102,1.1341097831726075
200,23,69.0,0.5583558479944865,1.05583758354187
201,23,32.0,0.49068310484290123,0.5778086602687835
202,23,22.0,0.4586478444662961,0.585303980112076
203,23,20.0,0.37293649166822435,0.5018222421407701
204,23,151.0,0.7529743570365653,1.0688190460205078
205,23,25.0,0.5051283669471741,0.6819134831428528
206,24,9.0,0.35288603438271415,0.4233745932579041
207,24,23.0,0.3956318866947423,0.5030317544937134
208,24,29.0,0.31640308016333085,0.4370983898639679
209,24,15.0,0.4184867888689041,0.48475314378738404
210,24,32.0,0.43797734286636114,0.6152127981185914
211,24,18.0,0.30605476680729127,0.3655262976884842
212,24,14.0,0.3136175647377968,0.32835257351398467
213,24,66.0,0.4291641797983285,0.5631503164768219
214,24,45.0,0.38682021929158106,0.543731427192688
215,25,28.0,0.443239834691797,0.5844921827316285
216,25,33.0,0.4066466535582687,0.5112512230873107
217,25,34.0,0.4643939715974471,0.6046606302261353
218,25,122.0,0.48714101851963604,0.6736233651638031
219,25,35.0,0.41688971604619707,0.5842467546463013
220,25,47.0,0.46170452934630374,0.5658939123153687
221,25,31.0,0.40830271955459346,0.4953985810279846
222,25,26.0,0.4236365556716919,0.5447992980480194
223,25,27.0,0.480539928983759,0.6229763746261597
224,26,65.0,0.49335612471287066,0.6877286076545716
225,26,17.0,0.555440811549916,0.7009753823280335
226,26,36.0,0.3225429770019319,0.4525344967842102
227,26,123.0,0.5539492027061742,0.7072640657424926
228,26,17.0,0.42520443130941954,0.5437578558921814
229,26,14.0,0.43640861979552675,0.5269827842712402
230,26,15.0,0.3996627906958262,0.588136065006256
231,26,24.0,0.37325594760477543,0.5048133730888367
232,26,32.0,0.45663664024323225,0.6404291689395906
233,26,18.0,0.4054429613881641,0.5479701220989228
234,27,9.0,0.46193507810433704,0.78523850440979
235,27,139.0,0.8103609341297219,1.099400544166565
236,27,42.0,0.5492345719110399,1.2087391376495362
237,27,46.0,0.4709740540255671,0.6017926037311554
238,27,25.0,0.32999419927597046,0.4471102058887482
239,27,79.0,0.5844905248171166,0.9941788196563721
240,27,37.0,0.3924822630109014,0.5300293326377868
241,28,17.0,0.4118454105713788,0.49550700187683105
242,28,41.0,0.44288403813431904,0.5430616736412048
243,28,22.0,0.3471986258571798,0.48600986897945403
244,28,44.0,0.465614858337424,0.640745395421982
245,28,27.0,0.3698412748398604,0.46145471334457405
246,28,28.0,0.40309945387499674,0.5313930749893189
247,28,20.0,0.43446263670921326,0.5326264917850497
248,28,132.0,0.45689068429849367,0.6428525388240814
249,28,40.0,0.35048265680670737,0.49965415596961976
250,29,43.0,0.4897032161784727,1.1242775440216066
251,29,15.0,0.2823669075965881,0.38610732555389404
252,29,75.0,0.7394653288523356,1.0755807876586916
253,29,20.0,0.2829890914261341,0.37443058192729956
254,29,42.0,0.3481236398220062,0.4904878675937652
