proto_i,class_i,proto_j,class_j,dist,mean_resid_i,p90_resid_i,mean_resid_j,p90_resid_j
350,40,135,15,0.3379385471343994,0.5042738020420074,0.6900358736515045,0.6559809911996126,0.8375736474990845
15,1,158,18,0.338816374540329,0.20748757322629294,0.2653762996196747,0.3468754433095455,0.444754359126091
158,18,15,1,0.338816374540329,0.3468754433095455,0.444754359126091,0.20748757322629294,0.2653762996196747
325,37,367,42,0.33949705958366394,0.31446268459161125,0.39454750418663026,0.7940132325249059,1.1682775020599365
367,42,325,37,0.33949705958366394,0.7940132325249059,1.1682775020599365,0.31446268459161125,0.39454750418663026
258,30,329,38,0.3408147096633911,0.4849445781646631,0.6613028764724732,0.5119186308648851,0.6826139807701112
329,38,258,30,0.3408147096633911,0.5119186308648851,0.6826139807701112,0.4849445781646631,0.6613028764724732
35,4,381,44,0.34114477038383484,0.44064798429608343,0.5657247006893158,0.6501999534012979,1.0162747859954833
173,19,42,5,0.34148016571998596,0.3693651095032692,0.4617255955934524,0.3951121788957845,0.6220722198486328
197,22,176,20,0.3448605239391327,0.41201752157353644,0.6524001598358153,0.3547467586566817,0.48652489185333253
83,9,380,44,0.34797540307044983,0.3688236176967621,0.5396948456764221,0.5408391786946191,0.7145040512084961
55,6,328,37,0.3481346070766449,0.407611479361852,0.5186067521572116,0.3650262212753296,0.45402019619941714
328,37,55,6,0.3481346070766449,0.3650262212753296,0.45402019619941714,0.407611479361852,0.5186067521572116
243,28,169,19,0.3482550084590912,0.3471986258571798,0.48600986897945403,0.43419252990222557,0.5645472407341003
194,22,203,23,0.3483642339706421,0.36888616649728073,0.4770984053611755,0.37293649166822435,0.5018222421407701
355,41,82,9,0.34950724244117737,0.5278620240481003,0.7643683552742004,0.39294775831894796,0.5437711477279663
126,14,141,16,0.3507685661315918,0.33758327509126357,0.49611446261405945,0.3625555321937654,0.5205500721931458
141,16,126,14,0.3507685661315918,0.3625555321937654,0.5205500721931458,0.33758327509126357,0.49611446261405945
230,26,317,36,0.35166311264038086,0.3996627906958262,0.588136065006256,0.44351899082010443,0.5905019998550415
317,36,230,26,0.35166311264038086,0.44351899082010443,0.5905019998550415,0.3996627906958262,0.588136065006256
174,20,286,33,0.3516979217529297,0.32799803400817124,0.45477257668972015,0.3222056356845079,0.47658545374870304
286,33,174,20,0.3516979217529297,0.3222056356845079,0.47658545374870304,0.32799803400817124,0.45477257668972015
379,44,82,9,0.35351303219795227,0.6987299174070358,1.0793576717376707,0.39294775831894796,0.5437711477279663
152,17,401,46,0.35417014360427856,0.4380732981695069,0.5684830367565155,0.5511904522776604,0.7801629841327667
401,46,152,17,0.35417014360427856,0.5511904522776604,0.7801629841327667,0.4380732981695069,0.5684830367565155
41,5,242,28,0.36141666769981384,0.3940834601720174,0.538129985332489,0.44288403813431904,0.5430616736412048
242,28,41,5,0.36141666769981384,0.44288403813431904,0.5430616736412048,0.3940834601720174,0.538129985332489
93,10,78,9,0.36434435844421387,0.4015855435281992,0.5086022317409515,0.3215087188614739,0.424628558754921
16,1,184,21,0.3671782612800598,0.33441397683186963,0.380003958940506,0.4592098769019632,0.6249918818473816
198,23,281,32,0.36886176466941833,0.48786939454801154,0.5975035190582275,0.33973921338717145,0.4228656589984894
94,11,382,44,0.3719046413898468,0.4454644674604589,0.5581307411193848,0.5510327832566367,0.8585138440132143
86,10,147,17,0.3736724257469177,0.504693015664816,0.6675197064876557,0.4521511569619179,0.6127904176712037
147,17,86,10,0.3736724257469177,0.4521511569619179,0.6127904176712037,0.504693015664816,0.6675197064876557
231,26,317,36,0.37382403016090393,0.37325594760477543,0.5048133730888367,0.44351899082010443,0.5905019998550415
57,6,322,37,0.37437552213668823,0.345143533051014,0.4584914416074753,0.2605106958321163,0.33167429566383366
0,0,214,24,0.37689852714538574,0.385546816388766,0.4809422314167023,0.38682021929158106,0.543731427192688
214,24,0,0,0.37689852714538574,0.38682021929158106,0.543731427192688,0.385546816388766,0.4809422314167023
377,43,388,45,0.37792980670928955,0.3425297798781559,0.4292636454105377,0.4344782556806292,0.5853830814361572
388,45,377,43,0.37792980670928955,0.4344782556806292,0.5853830814361572,0.3425297798781559,0.4292636454105377
168,19,43,5,0.38038545846939087,0.47196864433910535,0.6913570284843444,0.31538191934426624,0.4673385739326477
120,14,129,15,0.38098251819610596,0.4632739904854033,0.6390125632286072,0.48324817182525753,0.6819526314735413
129,15,120,14,0.38098251819610596,0.48324817182525753,0.6819526314735413,0.4632739904854033,0.6390125632286072
368,42,291,33,0.3814331293106079,0.5949436862553868,1.2652934312820434,0.32512847799807787,0.47009119391441345
130,15,254,29,0.3840082287788391,0.3867659261998008,0.509154862165451,0.3481236398220062,0.4904878675937652
254,29,130,15,0.3840082287788391,0.3481236398220062,0.4904878675937652,0.3867659261998008,0.509154862165451
369,42,149,17,0.38406702876091003,0.3242660529519382,0.5116553604602815,0.28471906579309897,0.35944636464118956
138,16,169,19,0.38463178277015686,0.4749019855055316,0.621202802658081,0.43419252990222557,0.5645472407341003
36,4,300,34,0.3854571580886841,0.599022480348746,0.8441201925277709,0.4311294721705573,0.5806053638458252
300,34,36,4,0.3854571580886841,0.4311294721705573,0.5806053638458252,0.599022480348746,0.8441201925277709
53,6,137,16,0.386516273021698,0.31639573854558606,0.4327483087778091,0.39728065715594724,0.5714635252952579
137,16,53,6,0.386516273021698,0.39728065715594724,0.5714635252952579,0.31639573854558606,0.4327483087778091
253,29,302,35,0.38782551884651184,0.2829890914261341,0.37443058192729956,0.3708339696129163,0.5192716777324677
302,35,253,29,0.38782551884651184,0.3708339696129163,0.5192716777324677,0.2829890914261341,0.37443058192729956
370,43,197,22,0.3886394798755646,0.35932020637495765,0.5263601303100586,0.41201752157353644,0.6524001598358153
221,25,235,27,0.38879337906837463,0.40830271955459346,0.4953985810279846,0.8103609341297219,1.099400544166565
235,27,221,25,0.38879337906837463,0.8103609341297219,1.099400544166565,0.40830271955459346,0.4953985810279846
251,29,128,15,0.388855904340744,0.2823669075965881,0.38610732555389404,0.3330666662918197,0.4863497018814087
39,4,152,17,0.3890599310398102,0.47634844056197573,0.6036009192466736,0.4380732981695069,0.5684830367565155
293,34,35,4,0.3895390033721924,0.5541603512623731,0.6852119326591491,0.44064798429608343,0.5657247006893158
373,43,162,18,0.389676034450531,0.31038682281970975,0.41976765990257264,0.46677778561909994,0.7128891587257387
393,45,254,29,0.3907303512096405,0.41715067873398465,0.5072735369205474,0.3481236398220062,0.4904878675937652
68,8,379,44,0.39175063371658325,0.5700028349052776,0.727959704399109,0.6987299174070358,1.0793576717376707
115,13,370,43,0.39217525720596313,0.36677515171468256,0.49338159263134,0.35932020637495765,0.5263601303100586
110,12,342,39,0.39274218678474426,0.4154908704130273,0.5615029335021974,0.37629803541031753,0.5065456807613373
342,39,110,12,0.39274218678474426,0.37629803541031753,0.5065456807613373,0.4154908704130273,0.5615029335021974
1,0,213,24,0.39289066195487976,0.4074270653313604,0.5743678450584412,0.4291641797983285,0.5631503164768219
159,18,11,1,0.3931407332420349,0.48189566476004464,0.6669857025146485,0.33948807282881305,0.37452131509780884
31,3,102,11,0.40075403451919556,0.3860849959905757,0.49968457818031314,0.4634684190154076,0.5767993211746216
102,11,31,3,0.40075403451919556,0.4634684190154076,0.5767993211746216,0.3860849959905757,0.49968457818031314
265,30,276,32,0.40336164832115173,0.4703351721951836,0.6726596593856812,0.4168592309579253,0.582573401927948
276,32,265,30,0.40336164832115173,0.4168592309579253,0.582573401927948,0.4703351721951836,0.6726596593856812
167,19,323,37,0.40337324142456055,0.4450549738747733,0.5911239266395569,0.40749752129379074,0.5818835258483886
323,37,167,19,0.40337324142456055,0.40749752129379074,0.5818835258483886,0.4450549738747733,0.5911239266395569
311,36,213,24,0.4042488634586334,0.4271730153184188,0.6363406538963318,0.4291641797983285,0.5631503164768219
201,23,280,32,0.40475186705589294,0.49068310484290123,0.5778086602687835,0.4800128871347846,0.6413019299507141
280,32,201,23,0.40475186705589294,0.4800128871347846,0.6413019299507141,0.49068310484290123,0.5778086602687835
398,46,135,15,0.4051761031150818,0.570239644301565,0.7255001544952392,0.6559809911996126,0.8375736474990845
